IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.18.62.188,1,1,0.00,141.92,28.86,LAX
104.24.138.103,1,1,0.00,141.88,28.07,LAX
104.18.6.225,1,1,0.00,142.14,27.71,LAX
104.18.36.242,1,1,0.00,141.92,27.68,LAX
104.20.5.152,1,1,0.00,141.89,27.51,LAX
104.25.218.3,1,1,0.00,141.85,27.50,LAX
172.67.242.128,1,1,0.00,142.12,27.10,LAX
104.25.154.19,1,1,0.00,142.14,26.20,LAX
172.67.163.54,1,1,0.00,141.89,25.23,LAX
104.19.11.17,1,1,0.00,141.68,25.01,LAX
198.41.206.2,1,1,0.00,153.95,0.00,N/A
104.16.35.204,1,1,0.00,151.79,0.00,N/A
104.19.34.149,1,1,0.00,142.22,0.00,N/A
104.25.150.190,1,1,0.00,142.23,0.00,N/A
172.67.246.221,1,1,0.00,142.23,0.00,N/A
104.19.207.235,1,1,0.00,142.31,0.00,N/A
172.67.196.150,1,1,0.00,142.31,0.00,N/A
172.64.37.144,1,1,0.00,142.35,0.00,N/A
172.66.171.142,1,1,0.00,142.35,0.00,N/A
104.27.205.127,1,1,0.00,142.36,0.00,N/A
104.21.113.46,1,1,0.00,142.36,0.00,N/A
104.24.172.143,1,1,0.00,142.37,0.00,N/A
104.21.115.140,1,1,0.00,142.38,0.00,N/A
104.19.143.70,1,1,0.00,142.48,0.00,N/A
172.64.145.226,1,1,0.00,142.49,0.00,N/A
172.67.237.134,1,1,0.00,142.49,0.00,N/A
104.25.180.209,1,1,0.00,142.54,0.00,N/A
104.21.97.85,1,1,0.00,142.56,0.00,N/A
104.21.35.1,1,1,0.00,142.59,0.00,N/A
104.24.81.20,1,1,0.00,142.60,0.00,N/A
104.24.71.191,1,1,0.00,142.68,0.00,N/A
104.24.82.155,1,1,0.00,142.68,0.00,N/A
104.25.71.60,1,1,0.00,142.77,0.00,N/A
104.27.64.248,1,1,0.00,142.78,0.00,N/A
198.41.223.220,1,1,0.00,142.80,0.00,N/A
104.18.41.167,1,1,0.00,142.80,0.00,N/A
104.21.18.84,1,1,0.00,142.83,0.00,N/A
104.24.235.251,1,1,0.00,142.83,0.00,N/A
104.19.130.18,1,1,0.00,142.89,0.00,N/A
104.21.215.57,1,1,0.00,142.93,0.00,N/A
104.25.228.101,1,1,0.00,143.00,0.00,N/A
104.25.14.153,1,1,0.00,143.08,0.00,N/A
104.19.28.43,1,1,0.00,143.12,0.00,N/A
104.27.67.202,1,1,0.00,143.13,0.00,N/A
104.25.240.64,1,1,0.00,143.14,0.00,N/A
104.25.90.61,1,1,0.00,143.17,0.00,N/A
104.24.76.219,1,1,0.00,143.22,0.00,N/A
198.41.197.187,1,1,0.00,143.26,0.00,N/A
104.27.38.44,1,1,0.00,143.26,0.00,N/A
104.24.25.249,1,1,0.00,143.28,0.00,N/A
104.19.140.110,1,1,0.00,143.29,0.00,N/A
104.27.90.96,1,1,0.00,143.33,0.00,N/A
104.21.200.48,1,1,0.00,143.35,0.00,N/A
